,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,mileage,seats
73,duster,2013,600000,120000,Diesel,Individual,Manual,First Owner,renault,19.01,5
74,santro,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,hyundai,17.92,5
75,bolero,2013,325000,62200,Diesel,Dealer,Manual,First Owner,mahindra,21.0,7
76,a6,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,audi,17.68,5
77,others,2015,350000,53000,Diesel,Individual,Manual,Second Owner,fiat,11.2,5
84,sx4,2008,175000,29173,Petrol,Dealer,Manual,First Owner,maruti,12.6,5
85,others,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,bmw,19.02,5
86,bolero,2017,628000,120000,Diesel,Individual,Manual,First Owner,mahindra,13.6,7
87,others,2010,600000,100000,Diesel,Individual,Manual,First Owner,hyundai,23.08,5
88,micra,2017,399000,30000,Petrol,Individual,Manual,First Owner,nissan,19.69,5
89,xylo,2018,750000,87000,Diesel,Individual,Manual,First Owner,mahindra,14.0,7
90,i20,2019,750000,15000,Petrol,Individual,Manual,First Owner,hyundai,17.4,5
91,kwid,2017,315000,16000,Petrol,Individual,Manual,First Owner,renault,25.17,5
92,xylo,2012,600000,60000,Diesel,Individual,Manual,First Owner,mahindra,14.0,7
93,wagon r,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,maruti,18.9,5
94,sx4,2011,250000,110000,Petrol,Individual,Manual,Third Owner,maruti,15.0,5
95,kwid,2017,350000,25000,Petrol,Individual,Manual,First Owner,renault,25.17,5
96,creta,2016,780000,60000,Diesel,Individual,Manual,First Owner,hyundai,19.67,5
97,swift dzire,2014,434000,79350,Diesel,Individual,Manual,Second Owner,maruti,19.3,5
98,verna,2016,690000,80000,Petrol,Individual,Automatic,First Owner,hyundai,25.0,5
99,scorpio,2014,555000,90000,Diesel,Individual,Manual,Second Owner,mahindra,12.05,7
100,sx4,2007,120000,90000,Petrol,Individual,Manual,Second Owner,maruti,29.96,5
101,ertiga,2014,500000,120000,Diesel,Individual,Manual,Second Owner,maruti,20.77,7
102,beat,2013,165000,60000,Diesel,Individual,Manual,Second Owner,chevrolet,18.6,5
104,baleno,2018,550000,20000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
105,swift,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,maruti,17.8,5
106,nano,2012,100000,50000,Petrol,Individual,Manual,Second Owner,tata,25.4,4
107,innova,2012,500000,100000,Diesel,Individual,Manual,First Owner,toyota,12.99,7
108,ertiga,2016,800000,70000,Diesel,Individual,Manual,Second Owner,maruti,24.52,7
109,creta,2016,840000,70000,Diesel,Individual,Manual,Second Owner,hyundai,19.67,5
110,amaze,2016,490000,50000,Petrol,Individual,Manual,First Owner,honda,18.0,5
111,indica,2010,125000,81000,Diesel,Individual,Manual,Second Owner,tata,17.0,5
112,tavera neo,2012,400000,120000,Diesel,Individual,Manual,Third Owner,chevrolet,13.58,7
114,figo aspire,2015,530000,14272,Petrol,Dealer,Manual,First Owner,ford,18.16,5
115,ecosport,2017,840000,49213,Diesel,Dealer,Manual,First Owner,ford,18.88,5
116,i10,2015,229999,40000,Petrol,Individual,Manual,First Owner,hyundai,20.36,5
118,spark,2012,130000,80000,Petrol,Individual,Manual,First Owner,chevrolet,18.0,5
119,eon,2015,200000,70000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
120,indica,2011,120000,70000,Diesel,Individual,Manual,First Owner,tata,16.5,5
123,800 ac,2005,100000,30000,Petrol,Individual,Manual,First Owner,maruti,16.1,5
124,eon,2013,280000,3240,Petrol,Individual,Manual,Second Owner,hyundai,21.1,5
125,i20,2015,540000,5000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
126,i20,2018,700000,10000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
128,i20,2016,430000,80000,Diesel,Individual,Manual,First Owner,hyundai,21.19,5
130,vitara brezza,2018,800000,35000,Diesel,Individual,Manual,First Owner,maruti,24.3,5
134,tavera neo,2015,400000,120000,Diesel,Individual,Manual,First Owner,chevrolet,13.58,7
135,eon,2012,170000,60000,Petrol,Individual,Manual,First Owner,hyundai,20.3,5
136,kwid,2016,225000,25000,Petrol,Individual,Manual,First Owner,renault,25.17,5
137,wagon r,2014,210000,90000,LPG,Individual,Manual,First Owner,maruti,17.3,5
138,wagon r,2020,240000,120000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
140,spark,2011,99000,100000,Petrol,Individual,Manual,Third Owner,chevrolet,18.0,5
141,city,2014,620000,36000,Petrol,Individual,Manual,First Owner,honda,17.4,5
144,swift,2017,550000,60000,Petrol,Individual,Manual,First Owner,maruti,28.4,5
145,indigo,2011,150000,155500,Diesel,Individual,Manual,First Owner,tata,25.0,5
146,i10,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,hyundai,19.81,5
147,beat,2016,320000,40000,Petrol,Individual,Manual,First Owner,chevrolet,18.6,5
148,swift,2015,400000,100000,Diesel,Individual,Manual,Third Owner,maruti,22.9,5
149,alto,2012,175000,80000,Petrol,Individual,Manual,Third Owner,maruti,19.7,5
150,beat,2011,120000,90000,Petrol,Individual,Manual,Second Owner,chevrolet,25.44,5
151,duster,2013,320000,90000,Diesel,Individual,Manual,Second Owner,renault,19.87,5
152,santro,2006,70000,110000,Petrol,Individual,Manual,Third Owner,hyundai,17.92,5
153,swift dzire,2019,810000,15000,Petrol,Individual,Manual,First Owner,maruti,28.4,5
154,800 ac,2007,95000,100000,Petrol,Individual,Manual,Second Owner,maruti,16.1,5
155,alto k10,2020,282000,40000,CNG,Individual,Manual,First Owner,maruti,23.95,5
157,nano,2013,72000,25000,Petrol,Individual,Manual,First Owner,tata,26.0,4
158,i20,2016,600000,25000,Petrol,Individual,Manual,First Owner,hyundai,17.4,5
159,rapid,2015,640000,23000,Petrol,Individual,Manual,First Owner,skoda,15.41,5
161,ciaz,2018,650000,70000,Petrol,Individual,Manual,First Owner,maruti,26.21,5
162,alto,2009,150000,60000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
163,i20,2009,280000,110000,Petrol,Individual,Manual,Second Owner,hyundai,23.0,5
164,nexon,2018,430000,30000,Petrol,Individual,Manual,First Owner,tata,21.5,5
165,bolero,2019,800000,15000,Diesel,Individual,Manual,First Owner,mahindra,16.5,7
167,vento,2016,650000,70000,Diesel,Individual,Automatic,First Owner,volkswagen,15.04,5
168,eeco,2017,390000,24000,Petrol,Individual,Manual,First Owner,maruti,30.716,5
169,city,2005,100000,120000,Petrol,Individual,Manual,Second Owner,honda,13.0,5
171,duster,2012,434999,110000,Diesel,Individual,Manual,Second Owner,renault,19.64,5
172,figo,2010,170000,90000,Diesel,Individual,Manual,Third Owner,ford,15.6,5
173,figo,2011,190000,90000,Diesel,Individual,Manual,Third Owner,ford,20.0,5
174,swift dzire,2009,250000,150000,Diesel,Individual,Manual,Third Owner,maruti,19.3,5
175,xylo,2009,229999,230000,Diesel,Individual,Manual,Third Owner,mahindra,14.0,7
176,esteem,2006,140000,70000,Petrol,Individual,Manual,Third Owner,maruti,15.9,5
177,swift,2017,600000,80362,Diesel,Individual,Manual,First Owner,maruti,16.6,5
178,i20,2012,280000,110000,Petrol,Individual,Manual,Third Owner,hyundai,23.0,5
179,beat,2012,150000,60000,Diesel,Individual,Manual,First Owner,chevrolet,18.6,5
181,micra,2014,210000,40000,Petrol,Individual,Manual,Second Owner,nissan,19.49,5
182,5 series,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,bmw,18.12,5
184,eon,2014,265000,55000,Petrol,Dealer,Manual,First Owner,hyundai,21.1,5
186,others,2013,365000,55000,Petrol,Dealer,Manual,First Owner,renault,11.2,5
187,figo,2014,350000,43000,Petrol,Dealer,Manual,First Owner,ford,18.16,5
188,ciaz,2016,685000,60000,Diesel,Individual,Manual,First Owner,maruti,26.21,5
190,xuv500,2017,1000000,40000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
191,xuv300,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,mahindra,20.0,5
194,s-cross,2017,800000,40000,Diesel,Individual,Manual,First Owner,maruti,25.1,5
195,i20,2012,385000,58000,Diesel,Dealer,Manual,First Owner,hyundai,18.6,5
196,eon,2012,235000,54000,Petrol,Dealer,Manual,First Owner,hyundai,21.1,5
198,alto,2006,52000,120000,Petrol,Individual,Manual,Third Owner,maruti,19.7,5
199,omni,2009,80000,90000,LPG,Individual,Manual,Second Owner,maruti,16.8,8
200,alto,2012,140000,70000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
201,verna,2008,120000,90000,Petrol,Individual,Manual,Second Owner,hyundai,16.8,5
203,optra,2012,180000,120000,Diesel,Individual,Manual,First Owner,chevrolet,16.52,5
205,i20,2017,700000,10000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
206,sx4,2012,285000,80000,Diesel,Individual,Manual,Second Owner,maruti,21.5,5
207,grand i10,2015,390000,90000,Petrol,Individual,Manual,First Owner,hyundai,24.0,5
208,alto,2008,125000,80000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
209,sx4,2008,225000,60000,Petrol,Individual,Manual,Second Owner,maruti,16.51,5
211,innova,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,toyota,12.8,7
213,innova,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,toyota,12.8,7
214,indica,2009,90000,120000,Diesel,Dealer,Manual,First Owner,tata,18.0,5
215,indica,2011,120000,120000,Diesel,Individual,Manual,Second Owner,tata,19.4,5
216,beat,2012,220000,100000,Diesel,Individual,Manual,Second Owner,chevrolet,25.44,5
218,800 ac,2013,170000,70000,Petrol,Individual,Manual,First Owner,maruti,16.1,5
219,figo,2015,300000,50000,Petrol,Individual,Manual,Second Owner,ford,18.16,5
220,innova,2014,1050000,70000,Diesel,Individual,Manual,First Owner,toyota,12.99,7
221,grand i10,2018,465000,25000,Diesel,Individual,Manual,First Owner,hyundai,18.9,5
224,grand i10,2018,500000,32000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
225,omni,2018,200000,10000,Petrol,Individual,Manual,First Owner,maruti,16.8,8
226,baleno,2017,625000,52000,Petrol,Dealer,Manual,First Owner,maruti,27.39,5
227,fiesta,2006,110000,120000,Diesel,Individual,Manual,Third Owner,ford,17.8,5
228,i20,2019,800000,11240,Petrol,Individual,Manual,First Owner,hyundai,17.19,5
229,grand i10,2017,490000,66000,Diesel,Dealer,Manual,First Owner,hyundai,18.9,5
230,ertiga,2017,880000,64000,Diesel,Dealer,Manual,First Owner,maruti,20.77,7
231,santro,2013,290000,49000,Petrol,Individual,Manual,First Owner,hyundai,17.92,5
233,kwid,2018,360000,26500,Petrol,Individual,Manual,First Owner,renault,25.17,5
235,vitara brezza,2017,685000,72000,Diesel,Dealer,Manual,First Owner,maruti,24.3,5
236,jazz,2009,300000,50000,Petrol,Individual,Manual,First Owner,honda,27.3,5
237,i20,2017,680000,44000,Diesel,Dealer,Manual,First Owner,hyundai,22.54,5
238,ertiga,2017,1000000,60000,Diesel,Individual,Manual,Second Owner,maruti,24.2,7
240,xylo,2010,160000,130000,Diesel,Individual,Manual,First Owner,mahindra,14.0,7
241,swift,2017,450000,70000,Diesel,Individual,Manual,First Owner,maruti,22.0,5
242,ertiga,2014,600000,20000,Petrol,Individual,Manual,First Owner,maruti,25.47,7
243,i20,2009,180000,60000,Diesel,Individual,Manual,Second Owner,hyundai,22.54,5
244,alto,2007,100000,195000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
245,alto,2010,120000,90000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
247,wagon r,2011,160000,155000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
248,bolero,2019,860000,35000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
249,i20,2018,650000,20000,Petrol,Individual,Manual,Second Owner,hyundai,18.6,5
250,wagon r,2010,100000,80000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
251,alto 800,2017,282000,20000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
252,i20,2009,300000,50000,Petrol,Individual,Manual,First Owner,hyundai,22.54,5
253,i20,2010,270000,110000,Petrol,Individual,Manual,Second Owner,hyundai,18.5,5
254,verna,2013,550000,29000,Diesel,Individual,Manual,First Owner,hyundai,22.32,5
255,xylo,2013,450000,120000,Diesel,Individual,Manual,First Owner,mahindra,11.68,7
256,bolero,2011,430000,70000,Diesel,Individual,Manual,Second Owner,mahindra,15.96,7
257,ertiga,2013,350000,40000,Petrol,Individual,Manual,First Owner,maruti,17.5,7
259,etios livo,2013,229999,50000,Petrol,Individual,Manual,Second Owner,toyota,17.71,5
260,alto 800,2013,110000,50000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
261,swift dzire,2012,395000,49000,Petrol,Individual,Manual,Second Owner,maruti,28.4,5
262,scorpio,2011,650000,70000,Diesel,Individual,Automatic,Second Owner,mahindra,14.0,7
263,bolero,2011,350000,90000,Diesel,Individual,Manual,Second Owner,mahindra,15.96,7
264,xuv500,2020,1400000,25000,Diesel,Dealer,Manual,First Owner,mahindra,15.1,7
265,tiago,2018,360000,4000,Petrol,Individual,Manual,First Owner,tata,23.84,5
266,marazzo,2018,1300000,10000,Diesel,Individual,Manual,First Owner,mahindra,17.3,7
268,eon,2018,229999,30000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
269,wagon r,2014,315000,41000,Petrol,Dealer,Manual,First Owner,maruti,20.51,5
271,baleno,2019,700000,16000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
272,eon,2015,160000,70000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
274,figo aspire,2018,624000,14681,Diesel,Dealer,Manual,First Owner,ford,25.83,5
275,i10,2009,250000,50000,Petrol,Individual,Manual,First Owner,hyundai,19.81,5
276,bolero,2016,585000,51000,Diesel,Dealer,Manual,First Owner,mahindra,15.96,7
277,verna,2015,500000,25000,Petrol,Individual,Manual,First Owner,hyundai,17.01,5
278,sail,2014,350000,30000,Petrol,Individual,Manual,First Owner,chevrolet,18.2,5
279,city,2014,495000,80000,Diesel,Dealer,Manual,First Owner,honda,26.0,5
280,grand i10,2017,500000,50000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
281,bolero,2015,430000,200000,Diesel,Individual,Manual,First Owner,mahindra,13.6,7
282,grand i10,2013,345000,44000,Petrol,Dealer,Manual,First Owner,hyundai,18.9,5
283,baleno,2015,500000,10000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
284,tiago,2019,425000,19600,Petrol,Individual,Manual,First Owner,tata,23.84,5
285,wagon r,2005,80000,40000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
286,beat,2011,106000,50000,Diesel,Individual,Manual,First Owner,chevrolet,18.6,5
288,others,2011,350000,80000,Diesel,Individual,Manual,First Owner,skoda,20.63,5
290,verna,2018,900000,24000,Diesel,Individual,Manual,First Owner,hyundai,17.01,5
292,ertiga,2017,1000000,40000,Diesel,Individual,Manual,First Owner,maruti,17.5,7
295,tavera neo,2007,160000,120000,Diesel,Individual,Manual,Third Owner,chevrolet,13.58,7
297,baleno,2019,800000,30000,Diesel,Individual,Manual,First Owner,maruti,21.4,5
299,swift dzire,2018,800000,25000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
300,i20,2017,575000,20000,Petrol,Individual,Manual,Second Owner,hyundai,18.6,5
301,duster,2012,350000,110000,Diesel,Individual,Manual,Second Owner,renault,19.64,5
302,swift,2008,250000,120000,Diesel,Individual,Manual,Third Owner,maruti,22.9,5
304,scorpio,2007,370000,100000,Diesel,Individual,Manual,Third Owner,mahindra,13.5,7
307,verna,2018,900000,25000,Diesel,Individual,Manual,First Owner,hyundai,17.01,5
308,wagon r,2014,300000,35000,Petrol,Individual,Manual,Second Owner,maruti,20.51,5
310,swift dzire,2015,490000,60000,Diesel,Individual,Manual,Second Owner,maruti,19.3,5
311,etios livo,2012,300000,50000,Diesel,Individual,Manual,Second Owner,toyota,17.71,5
312,nano,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,tata,26.0,4
313,grand i10,2016,350000,25000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
314,grand i10,2019,755000,8000,Diesel,Individual,Manual,First Owner,hyundai,18.9,5
315,ertiga,2017,720000,60000,Diesel,Individual,Manual,First Owner,maruti,16.02,7
316,bolero,2006,229999,200000,Diesel,Individual,Manual,Third Owner,mahindra,15.96,7
317,scorpio,2018,1100000,20000,Diesel,Individual,Manual,First Owner,mahindra,16.36,7
319,xcent,2015,350000,70000,Diesel,Individual,Manual,Second Owner,hyundai,24.4,5
320,beat,2012,159000,68000,Diesel,Dealer,Manual,First Owner,chevrolet,18.6,5
321,swift,2017,550000,38000,Petrol,Dealer,Manual,First Owner,maruti,28.4,5
322,ritz,2013,335000,80000,Diesel,Dealer,Manual,First Owner,maruti,23.2,5
325,others,2014,225000,43000,Petrol,Dealer,Manual,First Owner,maruti,11.9,5
326,swift,2007,250000,120000,Petrol,Individual,Manual,Second Owner,maruti,17.8,5
327,zest,2015,400000,100000,Diesel,Individual,Manual,First Owner,tata,17.57,5
329,alto k10,2018,300000,25000,Petrol,Individual,Automatic,First Owner,maruti,20.92,5
330,alto,2011,145000,25000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
331,sx4,2007,100000,90000,Petrol,Individual,Manual,Second Owner,maruti,29.96,5
332,scorpio,2014,500000,70000,Diesel,Individual,Manual,Second Owner,mahindra,14.0,7
334,cruze,2010,240000,81925,Diesel,Individual,Manual,First Owner,chevrolet,17.3,5
335,figo,2013,150000,80000,Diesel,Individual,Manual,Second Owner,ford,15.6,5
336,kwid,2017,270000,40000,Petrol,Individual,Manual,First Owner,renault,25.17,5
337,swift dzire,2014,400000,90000,Diesel,Individual,Manual,First Owner,maruti,23.4,5
338,eon,2012,200000,46000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
339,xuv500,2012,550000,80000,Diesel,Individual,Manual,First Owner,mahindra,15.1,7
340,kwid,2018,325000,35000,Petrol,Individual,Manual,First Owner,renault,23.01,5
342,xuv500,2012,600000,200000,Diesel,Individual,Manual,First Owner,mahindra,15.1,7
343,spark,2009,125000,70000,Petrol,Individual,Manual,First Owner,chevrolet,18.0,5
345,tavera neo,2010,300000,120000,Diesel,Individual,Manual,Third Owner,chevrolet,12.2,7
346,fiesta,2007,190000,60000,Petrol,Individual,Manual,Third Owner,ford,23.5,5
347,ertiga,2013,400000,110000,Diesel,Individual,Manual,First Owner,maruti,20.77,7
348,manza,2011,260000,97000,Diesel,Individual,Manual,Second Owner,tata,18.8,5
349,swift,2017,400000,30000,Petrol,Individual,Manual,First Owner,maruti,25.2,5
350,i20,2010,250000,40000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
351,grand i10,2019,600000,10000,Petrol,Individual,Manual,First Owner,hyundai,24.0,5
353,innova,2011,450000,200000,Diesel,Individual,Manual,Third Owner,toyota,12.8,7
354,tiago,2019,350000,15000,Petrol,Individual,Automatic,Second Owner,tata,23.84,5
355,vitara brezza,2018,800000,50000,Diesel,Individual,Manual,First Owner,maruti,24.3,5
356,swift,2011,250000,70000,Petrol,Individual,Manual,Second Owner,maruti,22.0,5
357,swift,2019,600000,10000,Petrol,Individual,Manual,First Owner,maruti,21.21,5
358,swift,2017,600000,90000,Diesel,Individual,Manual,First Owner,maruti,17.8,5
359,alto 800,2016,130000,40000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
360,wagon r,2006,90000,62009,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
361,i20,2017,595000,33100,Petrol,Individual,Manual,Second Owner,hyundai,22.54,5
362,eon,2014,190000,40000,Petrol,Individual,Manual,Second Owner,hyundai,21.1,5
364,wagon r,2007,95000,80000,Petrol,Individual,Manual,First Owner,maruti,24.22,5
367,bolero,2010,400000,50000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
370,ecosport,2014,500000,49000,Diesel,Individual,Manual,First Owner,ford,22.77,5
373,800 ac,2007,105000,60000,Petrol,Individual,Manual,Second Owner,maruti,16.1,5
374,endeavour,2008,400000,110000,Diesel,Individual,Manual,Third Owner,ford,12.8,7
376,alto 800,2016,300000,30000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
377,kuv300,2017,409999,40000,Diesel,Individual,Manual,First Owner,mahindra,25.32,6
378,swift,2009,250000,70000,Petrol,Individual,Manual,First Owner,maruti,22.9,5
379,new safari,2010,250000,120000,Diesel,Individual,Manual,Second Owner,tata,12.0,7
380,swift dzire,2012,215000,80000,Diesel,Individual,Manual,Third Owner,maruti,26.59,5
381,fortuner,2015,1400000,120000,Diesel,Individual,Manual,First Owner,toyota,11.5,7
383,brio,2018,475000,22000,Petrol,Individual,Manual,First Owner,honda,18.5,5
384,spark,2008,75000,35000,Petrol,Individual,Manual,Second Owner,chevrolet,18.0,5
387,ritz,2011,150000,40000,Diesel,Individual,Manual,Second Owner,maruti,21.1,5
388,vitara brezza,2018,850000,10000,Diesel,Individual,Manual,First Owner,maruti,18.76,5
389,santro,2019,350000,30000,Petrol,Individual,Manual,First Owner,hyundai,20.3,5
391,verna,2017,330000,80577,Petrol,Individual,Manual,First Owner,hyundai,16.2,5
392,city,2017,1044999,25000,Diesel,Individual,Manual,First Owner,honda,16.8,5
393,verna,2011,300000,127500,Diesel,Individual,Manual,Second Owner,hyundai,16.8,5
394,eon,2015,235000,40903,Petrol,Dealer,Manual,First Owner,hyundai,21.1,5
395,figo,2011,120000,60000,Petrol,Individual,Manual,Third Owner,ford,18.16,5
399,polo,2015,500000,30000,Diesel,Individual,Manual,Second Owner,volkswagen,17.21,5
403,duster,2013,400000,75976,Diesel,Dealer,Manual,Second Owner,renault,19.87,5
404,figo,2011,220000,70000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
406,omni,2018,250000,120000,Petrol,Individual,Manual,First Owner,maruti,19.7,8
407,mobilio,2015,600000,120000,Diesel,Individual,Manual,First Owner,honda,24.2,7
410,bolero,2011,170000,70000,Diesel,Individual,Manual,Third Owner,mahindra,15.96,7
411,figo,2015,229999,45000,Petrol,Individual,Manual,First Owner,ford,25.83,5
413,nano,2011,75000,15000,Petrol,Individual,Manual,First Owner,tata,26.0,4
414,i20,2016,600000,30000,Petrol,Individual,Manual,First Owner,hyundai,17.4,5
415,indigo,2011,220000,80000,Diesel,Individual,Manual,First Owner,tata,19.09,5
419,swift dzire,2014,240000,90000,Diesel,Individual,Manual,First Owner,maruti,19.3,5
420,kwid,2017,390000,30000,Petrol,Individual,Manual,First Owner,renault,24.04,5
421,beat,2012,180000,50000,Petrol,Individual,Manual,First Owner,chevrolet,25.44,5
422,swift,2012,320000,80000,Diesel,Individual,Manual,Second Owner,maruti,25.2,5
423,alto 800,2018,310000,5000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
424,wagon r,2018,420000,24000,Petrol,Individual,Automatic,First Owner,maruti,20.51,5
425,tiago,2019,550000,10000,Petrol,Individual,Manual,First Owner,tata,23.84,5
